macro,model,class,race,purpose,hull,mass,cargo,cargo_tags,crew,price,drag_forward,source
ship_bor_s_scout_02_a_macro,Irukandji,S,boron,fight,2600,5.582,530,container,1,119702,2.245,ego_dlc_boron
ship_bor_s_trans_container_01_a_macro,Terrapin,S,boron,trade,4000,15.639,2230,container,4,198595,5.253,ego_dlc_boron
ship_bor_xl_builder_01_a_macro,Walrus,XL,boron,build,178000,1200,50,container,140,11954185,228.795,ego_dlc_boron
ship_bor_xl_carrier_01_a_macro,Shark,XL,boron,fight,383000,1149.882,35000,container,405,24464165,332.118,ego_dlc_boron
ship_bor_xl_resupplier_01_a_macro,Orca,XL,boron,auxiliary,190000,1569.585,59200,container,154,17596810,344.677,ego_dlc_boron
ship_bor_xs_cv_01_a_macro,Mass Transporter C,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_cv_02_a_macro,Mass Transporter D,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_cv_03_a_macro,Mass Transporter F,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_pv_01_a_macro,Civilian Ship B,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_pv_02_a_macro,Tour Bus B,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_pv_03_a_macro,Short Range Transporter B,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_pv_04_a_macro,Short Range Transporter C,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_bor_xs_pv_05_a_macro,Short Range Transporter D,XS,boron,trade,184,3.121,,,,,1.624,ego_dlc_boron
ship_par_l_expeditionary_01_a_macro,Hyperion,L,paranid,fight,64000,63.081,7000,container,106,3118015,20.718,ego_dlc_mini_01
ship_gen_m_corvette_01_macro,Envoy,M,argon teladi,fight,13800,32.748,580,container,8,1275085,10.59,ego_dlc_mini_02
ship_gen_m_corvette_02_macro,Cypher,M,teladi,fight,12500,21.615,380,container,6,914640,9.88,ego_dlc_mini_02
ship_pir_l_miner_solid_01_a_macro,Donia,L,argon,mine,40000,195,45000,solid,31,1564470,33.51,ego_dlc_pirate
ship_pir_l_scavenger_01_a_macro,Barbarossa,L,argon,fight,114000,243.18,21000,container,126,7714025,86.42,ego_dlc_pirate
ship_pir_l_scavenger_01_a_storyhighcapacity_macro,Barbarossa,L,argon,fight,114000,243.18,21000,container,126,4599250,86.42,ego_dlc_pirate
ship_pir_l_scrapper_01_macro,Teuta,L,argon,dismantling,66000,505.41,7700,container,145,4322065,211.623,ego_dlc_pirate
ship_gen_m_yacht_01_a_macro,Astrid,M,argon,trade,9200,30.969,4300,condensate container,16,2170000,3.155,ego_dlc_pirate
ship_pir_s_fighter_01_a_macro,Kyd,S,argon,fight,3000,6.846,650,container,2,53080,3.951,ego_dlc_pirate
ship_pir_s_fighter_02_a_macro,Lux,S,argon,fight,2600,5.82,500,container,1,175140,3.967,ego_dlc_pirate
ship_pir_s_heavyfighter_01_a_macro,Shih,S,argon,fight,4900,12,590,container,2,274485,4.212,ego_dlc_pirate
ship_pir_s_trans_condensate_01_a_macro,Raleigh (Condensate),S,argon,trade,2500,19.407,250,condensate,4,217900,5.679,ego_dlc_pirate
ship_pir_s_trans_container_01_a_macro,Raleigh (Container),S,argon,trade,2500,16.876,2080,container,4,203995,5.331,ego_dlc_pirate
ship_pir_xl_battleship_01_a_macro,Erlking,XL,argon,fight,500000,370,56000,container,328,14920415,160,ego_dlc_pirate
ship_pir_xl_builder_01_macro,Gannascus,XL,argon,build,115000,885.723,50,container,219,11470775,257.145,ego_dlc_pirate
ship_spl_l_destroyer_01_a_macro,Rattlesnake,L,split,fight,242650,260,800,container,92,15290790,72,ego_dlc_split
ship_spl_l_miner_liquid_01_a_macro,Wyvern (Gas),L,split,mine,48000,159.275,37000,liquid,29,1610285,39.8,ego_dlc_split
ship_spl_l_miner_solid_01_a_macro,Wyvern (Mineral),L,split,mine,48000,159.275,35800,solid,29,1610285,39.8,ego_dlc_split
ship_spl_l_trans_container_01_a_macro,Buffalo,L,split,trade,37000,270,16000,container,59,2938525,79.072,ego_dlc_split
ship_spl_m_bomber_01_a_macro,Viper,M,split,fight,25000,35.418,740,container,8,,6.089,ego_dlc_split
ship_spl_m_corvette_01_a_macro,Dragon,M,split,fight,21000,23.476,450,container,6,1243415,3.1,ego_dlc_split
ship_spl_m_corvette_01_b_macro,Dragon Raider,M,split,fight,13800,17.607,340,container,5,739265,2.5,ego_dlc_split
ship_spl_m_frigate_01_a_macro,Cobra,M,split,fight,33000,38.045,1290,container,25,2172540,8.588,ego_dlc_split
ship_spl_m_miner_liquid_01_a_macro,Alligator (Gas),M,split,mine,5850,36.4,7600,liquid,8,212670,5.2,ego_dlc_split
ship_spl_m_miner_solid_01_a_macro,Alligator (Mineral),M,split,mine,5850,39.8,7000,solid,8,236300,5.2,ego_dlc_split
ship_spl_m_trans_container_01_a_macro,Boa,M,split,trade,7400,48,7500,container,20,373740,8.887,ego_dlc_split
ship_spl_s_fighter_01_a_macro,Mamba,S,split,fight,3600,7.1,540,container,1,194430,3.52,ego_dlc_split
ship_spl_s_fighter_02_a_macro,Asp,S,split,fight,4600,5.6,170,container,2,255275,3.35,ego_dlc_split
ship_spl_s_fighter_02_b_macro,Asp Raider,S,split,fight,2200,4.5,100,container,1,123940,3.14,ego_dlc_split
ship_spl_s_heavyfighter_01_a_macro,Chimera,S,split,fight,6100,12,200,container,2,350477,5.9,ego_dlc_split
ship_spl_s_heavyfighter_02_a_macro,Balaur,S,split,fight,5500,8.65,180,container,1,352755,4.8,ego_dlc_split
ship_spl_s_miner_solid_01_a_macro,Tuatara (Mineral),S,split,mine,1800,10,1720,solid,2,128200,4.44,ego_dlc_split
ship_spl_s_scout_01_a_macro,Jaguar,S,split,fight,2000,5.147,380,container,1,146365,1.49,ego_dlc_split
ship_spl_s_trans_container_01_a_macro,Tuatara,S,split,trade,2300,17.257,1350,container,4,247800,5.109,ego_dlc_split
ship_spl_s_trans_container_01_plot_01_macro,Tuatara,S,split,trade,2300,17.2,1350,container,4,,5.1,ego_dlc_split
ship_spl_xl_battleship_01_a_macro,Python,XL,split,fight,230000,353.74,1000,container,65,,146.979,ego_dlc_split
ship_spl_xl_builder_01_a_macro,Elephant,XL,split,build,181000,1151.849,50,container,182,12022990,151.305,ego_dlc_split
ship_spl_xl_carrier_01_a_macro,Raptor,XL,split,fight,590000,863.742,19000,container,309,32605075,120.582,ego_dlc_split
ship_spl_xl_resupplier_01_a_macro,Monitor,XL,split,auxiliary,220000,1120,57000,container,128,17231160,185,ego_dlc_split
ship_spl_xs_cv_01_a_macro,Short Range Transporter B,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_cv_01_b_macro,Short Range Transporter B,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_cv_02_a_macro,Short Range Transporter C,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_cv_02_b_macro,Short Range Transporter C,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_cv_03_a_macro,Short Range Transporter D,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_cv_03_b_macro,Short Range Transporter D,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_police_01_a_macro,Split Station Security Vessel,XS,split,trade,281,2.9,,,,9410,1.6,ego_dlc_split
ship_spl_xs_pv_01_a_macro,Civilian Ship B,XS,split,trade,184,3.1,,,,,1.624,ego_dlc_split
ship_spl_xs_pv_01_b_macro,Civilian Ship B,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_01_c_macro,Civilian Ship B,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_02_a_macro,Civilian Ship C,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_02_b_macro,Civilian Ship C,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_02_c_macro,Civilian Ship C,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_03_a_macro,Civilian Ship D,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_03_b_macro,Civilian Ship D,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_spl_xs_pv_03_c_macro,Civilian Ship D,XS,split,trade,184,3.1,,,,,1.6,ego_dlc_split
ship_atf_l_destroyer_01_a_macro,Syn,L,terran,fight,180700,260,3000,container,187,12823980,48,ego_dlc_terran
ship_ter_l_destroyer_01_a_macro,Osaka,L,terran,fight,104000,174,2800,container,75,8233870,51.06,ego_dlc_terran
ship_ter_l_miner_liquid_01_a_macro,Hokkaido (Gas),L,terran,mine,58000,140,51300,liquid,33,2854250,28,ego_dlc_terran
ship_ter_l_miner_solid_01_a_macro,Hokkaido (Mineral),L,terran,mine,58000,140,51300,solid,33,2854250,28,ego_dlc_terran
ship_ter_l_research_01_a_macro,Okinawa Research,L,terran,trade,36000,260,42000,container,57,4599250,62,ego_dlc_terran
ship_ter_l_trans_container_01_a_macro,Okinawa,L,terran,trade,36000,240,42000,container,57,4472180,62,ego_dlc_terran
ship_gen_m_transdrone_container_02_a_macro,Medium Terraforming Drone,M,,trade,10000,42,,,,46600,7,ego_dlc_terran
ship_ter_m_corvette_01_a_macro,Katana,M,terran,fight,12200,29.28,560,container,6,1763540,4.051,ego_dlc_terran
ship_ter_m_frigate_01_a_macro,Falx,M,terran,fight,26000,45.1,1500,container,23,2813860,24.8,ego_dlc_terran
ship_ter_m_gunboat_01_a_macro,Jian,M,terran,fight,13400,34.134,950,container,8,2057600,9.103,ego_dlc_terran
ship_ter_m_miner_liquid_01_a_macro,Bolo (Gas),M,terran,mine,7600,37.781,10000,liquid,7,388740,7.26,ego_dlc_terran
ship_ter_m_miner_solid_01_a_macro,Bolo (Mineral),M,terran,mine,7600,37.781,8800,solid,7,388740,6.898,ego_dlc_terran
ship_ter_m_trans_container_01_a_macro,Baldric,M,terran,trade,11000,69,10700,container,22,734360,15.57,ego_dlc_terran
ship_yak_m_corvette_01_a_macro,Kuraokami,M,paranid,fight,11600,18.9,1100,container liquid solid,9,984025,3,ego_dlc_terran
ship_gen_s_transdrone_container_02_a_macro,Small Terraforming Drone,S,,trade,2200,1,,,,23300,5.5,ego_dlc_terran
ship_ter_s_fighter_01_a_macro,Kukri,S,terran,fight,3700,7.843,140,container,2,327573,2.06,ego_dlc_terran
ship_ter_s_fighter_02_a_macro,Kalis,S,terran,fight,3300,7.118,180,container,2,342750,4.57,ego_dlc_terran
ship_ter_s_fighter_03_a_macro,Takoba,S,terran,fight,3400,7.335,110,container,2,343160,3.664,ego_dlc_terran
ship_ter_s_heavyfighter_01_a_macro,Gladius,S,terran,fight,4800,9.477,360,container,2,470800,5.033,ego_dlc_terran
ship_ter_s_miner_solid_01_a_macro,Kopis (Mineral),S,terran,mine,2000,8,5480,solid,2,171090,3.8,ego_dlc_terran
ship_ter_s_scout_01_a_macro,Rapier,S,terran,fight,1400,5.844,440,container,2,213800,1.182,ego_dlc_terran
ship_ter_s_scout_02_a_macro,Nimcha,S,terran,fight,3000,5,670,container,2,342750,3.136,ego_dlc_terran
ship_ter_s_trans_container_01_a_macro,Frog,S,terran,trade,2000,8.5,4120,container,3,299630,4.2,ego_dlc_terran
ship_yak_s_fighter_01_a_macro,Moreya,S,paranid,fight,4000,6.484,510,container liquid solid,3,269180,2.09,ego_dlc_terran
ship_atf_xl_battleship_01_a_macro,Asgard,XL,terran,fight,330000,600,9000,container,360,26179920,133.108,ego_dlc_terran
ship_ter_xl_builder_01_a_macro,Kyushu,XL,terran,build,153000,1170.425,50,container,219,21146490,200,ego_dlc_terran
ship_ter_xl_carrier_01_a_macro,Tokyo,XL,terran,fight,265000,700,22000,container,201,21886875,125,ego_dlc_terran
ship_ter_xl_resupplier_01_a_macro,Honshu,XL,terran,auxiliary,238000,1080,71500,container,123,26263870,190,ego_dlc_terran
ship_ter_xs_cv_01_a_macro,Short Range Transporter,XS,terran,trade,184,3.121,,,,,1.624,ego_dlc_terran
ship_ter_xs_cv_02_a_macro,Maintenance Vessel,XS,terran,trade,184,3.121,,,,,1.624,ego_dlc_terran
ship_ter_xs_police_01_a_macro,Terran Station Security Vessel,XS,terran,fight,300,1,,,,27418,1,ego_dlc_terran
ship_ter_xs_pv_01_a_macro,Civilian Ship A,XS,terran,trade,184,3.121,,,,,1.624,ego_dlc_terran
ship_ter_xs_pv_02_a_macro,Civilian Ship B,XS,terran,trade,184,3.121,,,,,1.624,ego_dlc_terran
ship_ter_xs_pv_03_a_macro,Tour Bus,XS,terran,trade,184,3.121,,,,,1.624,ego_dlc_terran
ship_ter_l_flagship_01_a_macro,Sapporo,L,terran,fight,128000,225.943,8600,container,84,7099138,86,ego_dlc_timelines
ship_ter_l_flagship_01_b_macro,Sapporo,L,terran,fight,128000,225.943,8600,container,84,,86,ego_dlc_timelines
ship_xen_l_terraformer_01_b_macro,ship_xen_l_terraformer_01_b_macro,L,,,,,12000,container liquid solid,0,,,ego_dlc_timelines
ship_ter_m_corvette_02_a_macro,Odachi,M,terran,fight,16100,20.594,400,container,4,2116165,2.524,ego_dlc_timelines
ship_ter_m_corvette_02_b_macro,Odachi,M,terran,fight,16100,20.594,400,container,4,,2.524,ego_dlc_timelines
ship_xen_m_corvette_01_b_macro,ship_xen_m_corvette_01_b_macro,M,,,,,750,container,,,,ego_dlc_timelines
ship_arg_s_racer_01_a_macro,Elite Sport,S,argon,racing,1800,3.772,,,0,172350,0.86,ego_dlc_timelines
ship_gen_s_racer_01_a_macro,Dart,S,,racing,2100,3.2,340,container,0,346850,0.71,ego_dlc_timelines
ship_par_s_racer_01_a_macro,Theseus Sport,S,paranid,racing,4200,6.8,,,0,191440,1.08,ego_dlc_timelines
ship_spl_s_scenariofighter_01_a_macro,Chimera,S,split,fight,6100,12,200,container,2,,5.9,ego_dlc_timelines
ship_tel_s_racer_01_a_macro,Kestrel Sport,S,teladi,racing,2500,7,,,0,163250,1.2,ego_dlc_timelines
ship_ter_s_fighter_04_a_macro,Cutlass,S,terran,fight,3600,5.35,100,container,1,343801,1.6,ego_dlc_timelines
ship_ter_s_fighter_04_b_macro,Cutlass,S,terran,fight,2500,4.815,100,container,1,,1.673,ego_dlc_timelines
ship_ter_s_fighter_04_c_macro,ship_ter_s_fighter_04_c_macro,S,,,3600,,,,,,1.6,ego_dlc_timelines
ship_ter_s_xperimental_01_a_macro,Xperimental Shuttle,S,terran,fight,4580,6,1100,container,2,1323258,1.422,ego_dlc_timelines
ship_ter_s_xperimental_01_a_story_macro,ship_ter_s_xperimental_01_a_story_macro,S,,,38000,5,1100,container,,,3.29,ego_dlc_timelines
ship_xen_s_heavyfighter_01_b_macro,ship_xen_s_heavyfighter_01_b_macro,S,,,,,280,container,,,,ego_dlc_timelines
ship_spl_xl_ark_01_a_macro,Colony Ship,XL,split,trade,935000,5962.952,34000,container,612,,3101.939,ego_dlc_timelines
ship_tfm_xl_carrier_02_b_macro,#dace,XL,xenon,fight,1190000,2104.8,,,0,,1221.09,ego_dlc_timelines
ship_xen_xl_mothership_01_a_macro,M0,XL,xenon,fight,1496000,2796.027,,,0,,639.205,ego_dlc_timelines
